Input	Match type	Approved symbol	Approved name	HGNC ID	Location
Smad7	Approved symbol	SMAD7	SMAD family member 7	HGNC:6773	18q21.1
Smad6	Approved symbol	SMAD6	SMAD family member 6	HGNC:6772	15q21-q22
FOXJ1b	Unmatched				
Smad5	Approved symbol	SMAD5	SMAD family member 5	HGNC:6771	5q31
SHOX2a	Unmatched				
SHOX2b	Unmatched				
SHOXa	Unmatched				
SHOXb	Unmatched				
ZIC2	Approved symbol	ZIC2	Zic family member 2	HGNC:12873	13q32
Nkx3-1	Approved symbol	NKX3-1	NK3 homeobox 1	HGNC:7838	8p21.2
FOXG1c	Previous symbol	FOXG1	forkhead box G1	HGNC:3811	14q11-q13
Nkx6-1	Approved symbol	NKX6-1	NK6 homeobox 1	HGNC:7839	4q21.33
Irx-4	Unmatched				
FOXP3	Approved symbol	FOXP3	forkhead box P3	HGNC:6106	Xp11.23
v1	Unmatched				
v2	Synonyms	TRGV9	T cell receptor gamma variable 9	HGNC:12295	7p14
v3	Unmatched				
v4	Unmatched				
Smad4	Approved symbol	SMAD4	SMAD family member 4	HGNC:6770	18q21.1
LMX1B	Approved symbol	LMX1B	"LIM homeobox transcription factor 1, beta"	HGNC:6654	9q33.3
LMX1A	Approved symbol	LMX1A	"LIM homeobox transcription factor 1, alpha"	HGNC:6653	1q24.1
PITX3	Approved symbol	PITX3	paired-like homeodomain 3	HGNC:9006	10q24.32
TLX3	Approved symbol	TLX3	T-cell leukemia homeobox 3	HGNC:13532	5q35.1
LBX1	Approved symbol	LBX1	ladybird homeobox 1	HGNC:16960	10q24.32
Nkx2-5	Approved symbol	NKX2-5	NK2 homeobox 5	HGNC:2488	5q34
Nkx2-8	Approved symbol	NKX2-8	NK2 homeobox 8	HGNC:16364	14q13.3
Nkx2-2	Approved symbol	NKX2-2	NK2 homeobox 2	HGNC:7835	20p11.22
Nkx2-3	Approved symbol	NKX2-3	NK2 homeobox 3	HGNC:7836	10q24.2
TBX5	Approved symbol	TBX5	T-box 5	HGNC:11604	12q24.1
TBX4	Approved symbol	TBX4	T-box 4	HGNC:11603	17q21-q22
TBX2	Approved symbol	TBX2	T-box 2	HGNC:11597	17q23.2
TBX1A	Unmatched				
TBX1B	Unmatched				
ZHX1	Approved symbol	ZHX1	zinc fingers and homeoboxes 1	HGNC:12871	8q24.13
HPX42B	Synonyms	VENTX	VENT homeobox	HGNC:13639	10q26.3
HOXA9A	Unmatched				
IPF1	Previous symbol	PDX1	pancreatic and duodenal homeobox 1	HGNC:6107	13q12.1
NCX	Synonyms	TLX2	T-cell leukemia homeobox 2	HGNC:5057	2p13.1
HAND1	Approved symbol	HAND1	heart and neural crest derivatives expressed 1	HGNC:4807	5q33
HAND2	Approved symbol	HAND2	heart and neural crest derivatives expressed 2	HGNC:4808	4q34.1
14-3-3	Synonyms	YWHAQ	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta"	HGNC:12854	2p25.2-p25.1
zeta	Synonyms	PSMA5	"proteasome (prosome, macropain) subunit, alpha type, 5"	HGNC:9534	1p13
zeta	Synonyms	AP5Z1	"adaptor-related protein complex 5, zeta 1 subunit"	HGNC:22197	7p22.1
TBR2	Synonyms	EOMES	eomesodermin	HGNC:3372	3p24.1
TBX6	Approved symbol	TBX6	T-box 6	HGNC:11605	16p11.2
GCNF-2	Unmatched				
GCNF-1	Unmatched				
TBX18	Approved symbol	TBX18	T-box 18	HGNC:11595	6q14.1-q15
TBX19	Approved symbol	TBX19	T-box 19	HGNC:11596	1q23-q24
TBX3	Approved symbol	TBX3	T-box 3	HGNC:11602	12q24.21
TBX20	Approved symbol	TBX20	T-box 20	HGNC:11598	7p14.3
HMX1	Approved symbol	HMX1	H6 family homeobox 1	HGNC:5017	4p16.1
T3R-beta2	Unmatched				
LXR-beta	Unmatched				
CUTL2	Previous symbol	CUX2	cut-like homeobox 2	HGNC:19347	12q24.12
POU4F3	Approved symbol	POU4F3	POU class 4 homeobox 3	HGNC:9220	5q32
JIP-1	Synonyms	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	HGNC:6882	11p11.2
POU3F3	Approved symbol	POU3F3	POU class 3 homeobox 3	HGNC:9216	2q12.1
POU6F1	Approved symbol	POU6F1	POU class 6 homeobox 1	HGNC:9224	12q13.13
POU5F1C	Unmatched				
AKNA	Approved symbol	AKNA	AT-hook transcription factor	HGNC:24108	9q32
FXR-alpha	Unmatched				
ALX3	Approved symbol	ALX3	ALX homeobox 3	HGNC:449	1p13.3
ATOH1	Approved symbol	ATOH1	atonal homolog 1 (Drosophila)	HGNC:797	4q22
NeuroD1	Approved symbol	NEUROD1	neuronal differentiation 1	HGNC:7762	2q32
CSA	Synonyms	CSH1	chorionic somatomammotropin hormone 1 (placental lactogen)	HGNC:2440	17q22-q24
CSA	Synonyms	ERCC8	excision repair cross-complementation group 8	HGNC:3439	5q12.1
CSB	Synonyms	CSH2	chorionic somatomammotropin hormone 2	HGNC:2441	17q22-q24
CSB	Synonyms	ERCC6	excision repair cross-complementation group 6	HGNC:3438	10q11
Smad4delta3	Unmatched				
Smad4delta4	Unmatched				
Smad4delta6	Unmatched				
Smad4delta5-6	Unmatched				
Smad4delta4-6	Unmatched				
Smad4delta4-7	Unmatched				
SKIP	Synonyms	SNW1	SNW domain containing 1	HGNC:16696	14q22.1-q22.3
SKIP	Synonyms	INPP5K	inositol polyphosphate-5-phosphatase K	HGNC:33882	17p13.3
SKIP	Synonyms	SPHKAP	"SPHK1 interactor, AKAP domain containing"	HGNC:30619	2q36.3
SXR	Synonyms	NR1I2	"nuclear receptor subfamily 1, group I, member 2"	HGNC:7968	3q12-q13.3
PXR-1	Unmatched				
SRC-1	Unmatched				
SRC-3	Synonyms	NCOA3	nuclear receptor coactivator 3	HGNC:7670	20q12
PXR-2	Unmatched				
SnoN	Synonyms	SKIL	SKI-like proto-oncogene	HGNC:10897	3q26
c-Ski	Unmatched				
ERR3-2	Unmatched				
ERR3-1	Unmatched				
ER-beta	Unmatched				
IRF-3	Unmatched				
IRF-7A	Unmatched				
MRF-2	Unmatched				
FAC1	Synonyms	BPTF	bromodomain PHD finger transcription factor	HGNC:3581	17q24
STAT5A	Approved symbol	STAT5A	signal transducer and activator of transcription 5A	HGNC:11366	17q11.2
STAT5B	Approved symbol	STAT5B	signal transducer and activator of transcription 5B	HGNC:11367	17q11.2
AP-2rep	Synonyms	KLF12	Kruppel-like factor 12	HGNC:6346	13q22
NCOR1	Approved symbol	NCOR1	nuclear receptor corepressor 1	HGNC:7672	17p11.2
NCOR2	Approved symbol	NCOR2	nuclear receptor corepressor 2	HGNC:7673	12q24
Cdc5	Synonyms	CDC5L	cell division cycle 5-like	HGNC:1743	6p21.1
LUN-1	Unmatched				
LUN-2	Unmatched				
ATF6	Approved symbol	ATF6	activating transcription factor 6	HGNC:791	1q22-q23
NOR1	Synonyms	NR4A3	"nuclear receptor subfamily 4, group A, member 3"	HGNC:7982	9q22
NOR1	Synonyms	OSCP1	organic solute carrier partner 1	HGNC:29971	1p34.3
NOR1/MINOR	Unmatched				
STAT1	Approved symbol	STAT1	"signal transducer and activator of transcription 1, 91kDa"	HGNC:11362	2q32.2-q32.3
Nkx6-2	Approved symbol	NKX6-2	NK6 homeobox 2	HGNC:19321	10q26.3
Bach1	Approved symbol	BACH1	"BTB and CNC homology 1, basic leucine zipper transcription factor 1"	HGNC:935	21q22.1
Bach1	Synonyms	BRIP1	BRCA1 interacting protein C-terminal helicase 1	HGNC:20473	17q22.2
Bach2	Approved symbol	BACH2	"BTB and CNC homology 1, basic leucine zipper transcription factor 2"	HGNC:14078	6q15
MAZR	Synonyms	PATZ1	POZ (BTB) and AT hook containing zinc finger 1	HGNC:13071	22q12.2
Bach1t	Unmatched				
IRX-1	Synonyms	IRX3	iroquois homeobox 3	HGNC:14360	16q12.2
MIXL1	Approved symbol	MIXL1	Mix paired-like homeobox	HGNC:13363	1q42.12
RXR-gamma	Unmatched				
TLX	Previous symbol	NR2E1	"nuclear receptor subfamily 2, group E, member 1"	HGNC:7973	6q21
TLX	Synonyms	CD46	"CD46 molecule, complement regulatory protein"	HGNC:6953	1q32
T3R-alpha:RXR-alpha	Unmatched				
FOXP2	Approved symbol	FOXP2	forkhead box P2	HGNC:13875	7q31
epsilon	Unmatched				
ESXR1	Synonyms	ESX1	ESX homeobox 1	HGNC:14865	Xq22.2
Sox20	Previous symbol	SOX15	SRY (sex determining region Y)-box 15	HGNC:11196	17p13.1
Ref-1	Synonyms	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	HGNC:587	14q11.2
Tel-2a	Unmatched				
Tel-2c	Unmatched				
Tel-2d	Unmatched				
Tel-2e	Unmatched				
Tel-2f	Unmatched				
ELFR	Synonyms	ELF4	E74-like factor 4 (ets domain transcription factor)	HGNC:3319	Xq26
NERF-1a	Synonyms	ELF2	E74-like factor 2 (ets domain transcription factor)	HGNC:3317	4q28
NERF-1b	Synonyms	ELF2	E74-like factor 2 (ets domain transcription factor)	HGNC:3317	4q28
NERF-2	Synonyms	ELF2	E74-like factor 2 (ets domain transcription factor)	HGNC:3317	4q28
ADA3	Synonyms	TADA3	transcriptional adaptor 3	HGNC:19422	3p25.3
NERF	Synonyms	ELF2	E74-like factor 2 (ets domain transcription factor)	HGNC:3317	4q28
RP58	Synonyms	ZBTB18	zinc finger and BTB domain containing 18	HGNC:13030	1q44
RP58	Synonyms	ZNF513	zinc finger protein 513	HGNC:26498	2p23.3
Max	Approved symbol	MAX	MYC associated factor X	HGNC:6913	14q23
AP-2alpha	Unmatched				
